n'; m'; Const-ILS; Const-ILSD; R-BEP
600;637;194.4;195.6;184.6
600;674;187.0;188.2;170.0
600;712;183.2;183.6;154.4
600;749;180.4;178.0;143.2
600;787;172.0;169.0;131.4
700;740;224.8;226.6;216.2
700;780;220.2;220.4;201.2
700;821;215.8;216.6;183.8
700;861;209.4;204.6;169.0
700;902;204.4;200.4;159.0
800;843;258.4;258.4;247.8
800;886;252.6;255.2;230.6
800;930;246.6;244.8;212.6
800;973;243.2;240.6;199.2
800;1017;234.4;230.0;183.0
900;944;291.4;294.6;282.0
900;989;284.4;286.8;263.4
900;1034;279.8;278.2;244.8
900;1079;272.0;272.8;229.8
900;1124;265.0;261.8;212.8
1000;1047;326.0;327.6;314.6
1000;1095;315.6;319.2;294.2
1000;1143;312.4;313.8;276.2
1000;1191;306.0;304.2;257.4
1000;1239;300.0;294.4;241.8
