n'; m'; ILS; ILSD; ILS-4; ILSD-4
600;637;184.8;185.2;184.2;184.0
600;674;170.4;170.4;169.0;169.2
600;712;155.8;156.0;153.0;153.0
600;749;143.2;143.8;141.2;141.6
600;787;132.6;132.8;129.6;129.4
700;740;216.0;216.2;215.4;215.6
700;780;201.4;201.4;199.6;199.6
700;821;185.2;184.6;183.0;182.4
700;861;168.8;169.2;166.6;167.2
700;902;161.0;161.6;156.8;156.6
800;843;247.0;247.0;246.8;247.2
800;886;230.8;232.2;229.2;229.6
800;930;213.6;213.4;210.6;210.8
800;973;200.8;201.0;197.8;197.4
800;1017;184.2;184.6;180.0;179.4
900;944;282.0;282.0;280.6;280.6
900;989;263.4;263.4;261.8;262.2
900;1034;246.0;246.8;243.2;243.6
900;1079;230.2;229.6;227.0;226.6
900;1124;214.6;215.0;210.4;210.0
1000;1047;314.0;313.8;314.0;313.8
1000;1095;294.2;294.2;292.4;292.6
1000;1143;276.8;279.0;273.8;274.4
1000;1191;259.8;258.8;254.6;255.0
1000;1239;244.8;243.2;239.0;238.8
