n'; m'; ILS; ILSD; ILS-4; ILSD-4
20;41.8;0.76;0.80;0.80;0.80
40;70.8;3.12;3.04;2.96;3.00
60;95.0;6.92;6.84;6.72;6.68
80;119.8;9.92;9.84;9.84;9.84
100;144.0;14.36;14.08;14.16;14.16
120;168.8;18.60;18.56;18.12;18.20
140;193.0;22.48;22.20;21.80;21.84
160;217.8;26.72;26.48;26.04;26.08
180;242.0;30.72;30.36;30.12;30.16
200;266.8;34.60;34.16;33.64;33.76
250;321.0;46.80;46.80;45.96;45.80
300;380.0;59.92;59.36;58.76;58.68
350;434.8;70.84;71.16;70.20;70.32
400;489.0;85.12;84.56;83.92;83.80
450;548.0;96.56;96.16;95.36;95.36
500;602.8;110.28;110.20;109.08;108.88
