n'; m'; ILS; ILS-1; ILS-2; ILS-3; ILS-4
20;41.8;0.76;0.80;0.80;0.80;0.80
40;70.8;3.12;3.04;3.04;3.00;2.96
60;95.0;6.92;6.72;6.72;6.72;6.72
80;119.8;9.92;9.84;9.84;9.80;9.84
100;144.0;14.36;14.28;14.20;14.16;14.16
120;168.8;18.60;18.16;18.24;18.12;18.12
140;193.0;22.48;22.00;21.96;21.92;21.80
160;217.8;26.72;26.32;26.20;26.20;26.04
180;242.0;30.72;30.16;30.24;30.04;30.12
200;266.8;34.60;33.96;33.72;33.80;33.64
250;321.0;46.80;46.20;46.08;45.96;45.96
300;380.0;59.92;58.88;58.84;58.84;58.76
350;434.8;70.84;70.48;70.48;70.24;70.20
400;489.0;85.12;83.96;83.88;83.84;83.92
450;548.0;96.56;95.60;95.64;95.44;95.36
500;602.8;110.28;109.20;109.24;108.88;109.08
600;711.8;157.36;155.60;155.44;155.56;155.40
700;820.8;186.48;184.48;184.36;184.36;184.28
800;929.8;215.28;213.16;212.96;212.88;212.88
900;1034.0;247.24;244.76;244.80;244.52;244.60
1000;1143.0;277.92;275.12;274.92;275.04;274.76
