n';m';Moreno et Al;
20;41.8;1.04;
40;70.8;3.76;
60;95.0;8.16;
80;119.8;11.68;
100;144.0;16.24;
120;168.8;20.88;
140;193.0;24.52;
160;217.8;29.84;
180;242.0;33.44;
200;266.8;37.56;
250;321.0;50.72;
300;380.0;63.16;
350;434.8;76.12;
400;489.0;90.84;
450;548.0;102.04;
500;602.8;116.64;
600;637;187.6;
600;674;173.4;
600;712;159.4;
600;749;145.4;
600;787;135.4;
700;740;218.8;
700;780;204.4;
700;821;189.0;
700;861;174.2;
700;902;165.2;
800;843;250.8;
800;886;235.0;
800;930;216.2;
800;973;205.0;
800;1017;189.0;
900;944;285.2;
900;989;268.8;
900;1034;250.6;
900;1079;235.8;
900;1124;219.0;
1000;1047;317.4;
1000;1095;299.6;
1000;1143;283.0;
1000;1191;264.0;
1000;1239;249.6;
