n';m';Ótimo;Moreno et Al;R-BEP;PageRank1;PageRank2
600;637;183.8;187.6;186.0;186.0;186.0
600;674;167.2;173.4;171.2;171.2;171.2
600;712;150.6;159.4;156.4;156.4;156.4
600;749;138.8;145.4;145.2;145.3;145.3
600;787;125.8;135.4;134.0;134.0;134.4
700;740;214.4;218.8;217.3;217.3;217.3
700;780;198.0;204.4;202.6;202.5;202.6
700;821;180.0;189.0;185.7;185.7;185.8
700;861;164.0;174.2;171.2;171.2;171.3
700;902;154.2;165.2;162.3;162.2;162.5
800;843;245.6;250.8;248.5;248.5;248.5
800;886;227.6;235.0;231.9;231.9;231.9
800;930;208.4;216.2;214.9;214.8;214.9
800;973;194.2;205.0;201.4;201.5;201.6
800;1017;176.2;189.0;185.5;185.6;185.6
900;944;279.6;285.2;282.8;282.7;282.8
900;989;259.2;268.8;265.1;265.1;265.2
900;1034;240.6;250.6;247.0;247.0;247.0
900;1079;223.2;235.8;232.0;232.0;232.1
900;1124;206.0;219.0;215.3;215.4;215.7
1000;1047;312.0;317.4;315.9;315.9;316.0
1000;1095;290.0;299.6;295.9;295.9;296.0
1000;1143;271.2;283.0;278.0;278.0;278.0
1000;1191;251.0;264.0;260.1;260.0;260.1
1000;1239;235.2;249.6;244.7;244.6;244.9
