n';m';Ótimo;Moreno et Al;R-BEP;PageRank1;PageRank2
600;637;183.8;187.6;186.0;186.0;186.1
600;674;167.2;173.4;171.3;171.3;171.4
600;712;150.6;159.4;156.3;156.3;156.5
600;749;138.8;145.4;145.2;145.2;145.1
600;787;125.8;135.4;134.4;134.4;134.7
700;740;214.4;218.8;217.3;217.3;217.3
700;780;198.0;204.4;202.5;202.5;202.4
700;821;180.0;189.0;186.1;186.1;186.2
700;861;164.0;174.2;171.9;171.9;171.8
700;902;154.2;165.2;162.6;162.6;162.7
800;843;245.6;250.8;248.7;248.7;248.7
800;886;227.6;235.0;231.9;231.9;231.9
800;930;208.4;216.2;215.2;215.2;215.2
800;973;194.2;205.0;201.3;201.3;201.6
800;1017;176.2;189.0;185.9;185.9;186.0
900;944;279.6;285.2;282.8;282.8;282.8
900;989;259.2;268.8;265.1;265.1;265.3
900;1034;240.6;250.6;247.4;247.4;247.3
900;1079;223.2;235.8;231.9;231.9;232.1
900;1124;206.0;219.0;215.8;215.8;216.1
1000;1047;312.0;317.4;316.0;316.0;316.0
1000;1095;290.0;299.6;295.9;295.9;295.8
1000;1143;271.2;283.0;278.2;278.2;278.2
1000;1191;251.0;264.0;260.4;260.4;260.7
1000;1239;235.2;249.6;245.1;245.1;245.2
