n';m';Ótimo;Moreno et Al;R-BEP;PageRank1;PageRank2
20;41.8;0.8;1.04;1.49;1.49;1.57
40;70.8;2.8;3.76;4.70;4.70;4.80
60;95.0;6.3;8.16;8.71;8.71;8.80
80;119.8;9.2;11.68;11.98;11.98;12.08
100;144.0;13.3;16.24;16.73;16.73;16.87
120;168.8;17.5;20.88;20.78;20.78;20.90
140;193.0;20.9;24.52;24.93;24.93;25.02
160;217.8;25.0;29.84;29.49;29.49;29.58
180;242.0;29.1;33.44;33.91;33.91;34.11
200;266.8;32.6;37.56;37.60;37.60;37.91
250;321.0;44.6;50.72;50.05;50.05;50.26
300;380.0;57.4;63.16;62.96;62.96;63.22
350;434.8;68.6;76.12;74.93;74.93;75.14
400;489.0;81.8;90.84;88.62;88.62;88.88
450;548.0;93.4;102.04;100.38;100.38;100.72
500;602.8;106.7;116.64;113.97;113.97;114.20
