n';m';Ótimo;Moreno et Al;R-BEP;PageRank1;PageRank2
600;637;183.8;187.6;185.0;185.0;185.4
600;674;167.2;173.4;170.6;170.6;170.6
600;712;150.6;159.4;154.8;154.8;155.2
600;749;138.8;145.4;143.6;143.6;143.6
600;787;125.8;135.4;132.0;132.0;132.4
700;740;214.4;218.8;217.0;217.0;217.0
700;780;198.0;204.4;201.4;201.4;201.6
700;821;180.0;189.0;184.8;184.8;184.6
700;861;164.0;174.2;170.0;170.0;170.2
700;902;154.2;165.2;160.4;160.4;160.4
800;843;245.6;250.8;247.8;247.8;247.8
800;886;227.6;235.0;231.2;231.2;231.4
800;930;208.4;216.2;213.6;213.6;213.8
800;973;194.2;205.0;199.8;199.8;200.0
800;1017;176.2;189.0;183.8;183.8;183.8
900;944;279.6;285.2;282.2;282.2;282.2
900;989;259.2;268.8;264.2;264.2;264.4
900;1034;240.6;250.6;246.0;246.0;245.6
900;1079;223.2;235.8;229.6;229.6;229.6
900;1124;206.0;219.0;214.0;214.0;213.4
1000;1047;312.0;317.4;315.4;315.4;315.4
1000;1095;290.0;299.6;295.2;295.2;295.2
1000;1143;271.2;283.0;276.8;276.8;276.8
1000;1191;251.0;264.0;258.4;258.4;258.4
1000;1239;235.2;249.6;242.8;242.8;243.4
