n';m';Ótimo;Moreno et Al;R-BEP;PageRank1;PageRank2
20;41.8;0.8;1.04;0.88;0.92;0.92
40;70.8;2.8;3.76;3.56;3.60;3.52
60;95.0;6.3;8.16;7.40;7.40;7.44
80;119.8;9.2;11.68;10.36;10.36;10.56
100;144.0;13.3;16.24;14.84;14.84;14.92
120;168.8;17.5;20.88;19.20;19.20;19.32
140;193.0;20.9;24.52;22.84;22.84;23.00
160;217.8;25.0;29.84;27.32;27.32;27.32
180;242.0;29.1;33.44;31.76;31.76;31.76
200;266.8;32.6;37.56;35.40;35.40;35.48
250;321.0;44.6;50.72;47.84;47.84;47.80
300;380.0;57.4;63.16;60.72;60.72;60.96
350;434.8;68.6;76.12;72.48;72.48;72.68
400;489.0;81.8;90.84;86.20;86.20;86.44
450;548.0;93.4;102.04;98.16;98.16;98.20
500;602.8;106.7;116.64;111.60;111.60;111.68
