N;GRAU;PageRank;R-BEP;D-BRANCH
1;4;0.00632399;1;100
2;4;0.00638798;1;100
3;1;0.0017324;0;0
4;1;0.00187228;0;0
5;1;0.00185982;0;0
6;1;0.00184845;0;0
7;2;0.00306179;0;0
8;1;0.00185982;0;0
9;4;0.00568103;1;100
10;1;0.00175868;0;0
11;1;0.00184385;0;0
12;1;0.00184723;0;0
13;1;0.0017318;0;0
14;1;0.00174186;0;0
15;1;0.00175655;0;0
16;1;0.00187228;0;0
17;4;0.00580175;1;100
18;4;0.00556927;1;100
19;1;0.00173131;0;0
20;1;0.00168399;0;0
21;1;0.0017465;0;0
22;2;0.00291816;0;0
23;4;0.00545429;1;100
24;1;0.00173287;0;0
25;1;0.00177713;0;0
26;4;0.00458563;0;0
27;5;0.00659011;1;100
28;1;0.00187041;0;0
29;5;0.0062013;0;0
30;1;0.00176893;0;0
31;1;0.00184385;0;0
32;2;0.00288902;0;0
33;4;0.00644897;1;100
34;1;0.00188577;0;0
35;1;0.00187041;0;0
36;1;0.00184299;0;0
37;1;0.00183109;0;0
38;1;0.00187022;0;0
39;1;0.00173171;0;0
40;1;0.0016755;0;0
41;1;0.00186587;0;0
42;2;0.00285349;0;0
43;4;0.00592315;1;100
44;1;0.00185982;0;0
45;4;0.00652125;1;100
46;4;0.00645778;1;100
47;1;0.00187022;0;0
48;1;0.00174712;0;0
49;1;0.00173028;0;0
50;4;0.00631993;1;100
51;1;0.00186587;0;0
52;4;0.00517212;0;0
53;2;0.00289706;0;0
54;1;0.00187041;0;0
55;1;0.00185982;0;0
56;4;0.00643329;1;100
57;4;0.00483857;0;0
58;1;0.0017659;0;0
59;1;0.00188288;0;0
60;1;0.00188288;0;0
61;4;0.00554841;1;100
62;1;0.00172529;0;0
63;1;0.00187041;0;0
64;1;0.00185745;0;0
65;1;0.00173028;0;0
66;1;0.00169335;0;0
67;1;0.00175868;0;0
68;4;0.00595716;1;100
69;1;0.00186094;0;0
70;1;0.00188288;0;0
71;4;0.0057061;1;100
72;1;0.00175133;0;0
73;4;0.00652125;1;100
74;4;0.00576609;1;100
75;1;0.00185855;0;0
76;2;0.00297192;0;0
77;1;0.00172322;0;0
78;1;0.00174712;0;0
79;2;0.00293377;0;0
80;1;0.00175867;0;0
81;1;0.00170722;0;0
82;4;0.00481718;0;0
83;1;0.00183109;0;0
84;1;0.00188577;0;0
85;2;0.00280385;0;0
86;1;0.00182859;0;0
87;4;0.00535735;0;0
88;1;0.00186708;0;0
89;1;0.00174124;0;0
90;1;0.00176893;0;0
91;1;0.0017318;0;0
92;4;0.00642763;1;100
93;2;0.00304693;0;0
94;4;0.0064481;1;100
95;1;0.00173028;0;0
96;1;0.00165141;0;0
97;1;0.00185139;0;0
98;4;0.00643329;1;100
99;1;0.00188577;0;0
100;4;0.00520068;1;64
101;4;0.00645778;1;100
102;1;0.00184723;0;0
103;1;0.00175133;0;0
104;1;0.00188577;0;0
105;4;0.0053151;0;36
106;1;0.00173131;0;0
107;1;0.0017324;0;0
108;4;0.00506266;0;0
109;4;0.0064481;1;100
110;4;0.00490472;0;0
111;1;0.00175133;0;0
112;1;0.00173287;0;0
113;1;0.0017479;0;0
114;4;0.00570925;1;100
115;5;0.00719539;1;100
116;4;0.00639914;1;100
117;2;0.00302401;0;0
118;4;0.00579626;1;100
119;1;0.00177767;0;0
120;2;0.00305356;0;0
121;1;0.00187022;0;0
122;1;0.00187228;0;0
123;2;0.00278248;0;0
124;4;0.00601002;1;100
125;5;0.00696467;1;100
126;2;0.00276144;0;0
127;3;0.00348488;0;0
128;1;0.00186094;0;0
129;4;0.00532754;0;0
130;1;0.00185139;0;0
131;1;0.00175508;0;0
132;4;0.00640444;1;100
133;1;0.00185982;0;0
134;1;0.00186094;0;0
135;2;0.0030091;0;0
136;1;0.00174712;0;0
137;2;0.00288324;0;0
138;1;0.00184299;0;0
139;1;0.00187228;0;0
140;4;0.00587246;1;100
141;1;0.00186708;0;0
142;1;0.00172529;0;0
143;1;0.00164341;0;0
144;2;0.00291201;0;0
145;1;0.00166216;0;0
146;4;0.00586589;1;100
147;1;0.00186708;0;0
148;1;0.0017479;0;0
149;4;0.00597142;1;100
150;1;0.00187041;0;0
151;5;0.00660104;1;100
152;1;0.00185982;0;0
153;5;0.00701972;1;100
154;4;0.00639318;1;100
155;3;0.00407667;0;0
156;4;0.00567684;1;100
157;1;0.00185745;0;0
158;1;0.00188577;0;0
159;2;0.00307544;0;0
160;4;0.00642763;1;100
161;4;0.00532611;0;68
162;1;0.00172322;0;0
163;5;0.00679466;1;100
164;1;0.00168399;0;0
165;4;0.00551649;1;100
166;1;0.00168418;0;0
167;4;0.00555029;1;100
168;1;0.00171321;0;0
169;1;0.00187041;0;0
170;4;0.00579671;1;100
171;2;0.00279482;0;0
172;2;0.00283055;0;0
173;5;0.00736079;1;100
174;1;0.00188577;0;0
175;5;0.00640761;1;100
176;1;0.00188577;0;0
177;1;0.00172157;0;0
178;1;0.00166869;0;0
179;4;0.00639914;1;100
180;1;0.00186708;0;0
