N;GRAU;PageRank;PESO;R-BEP;D-BRANCH
1;1;0.00413925;241.59;0;0
2;5;0.0132981;75.1989;0;32
3;4;0.0104618;95.5856;0;0
4;1;0.00401869;248.837;0;0
5;5;0.0142372;70.2385;0;56
6;2;0.00628699;159.059;0;0
7;2;0.006302;158.68;0;0
8;2;0.00601409;166.276;0;0
9;4;0.0118921;84.0894;0;0
10;5;0.0134304;74.4577;0;0
11;3;0.0084089;118.922;0;0
12;4;0.0121365;82.3964;0;29
13;1;0.00354841;281.816;0;0
14;1;0.00381973;261.799;0;0
15;2;0.0058918;169.727;0;0
16;3;0.00816131;122.529;0;0
17;4;0.0118571;84.3374;0;60
18;1;0.0035566;281.168;0;0
19;1;0.00395149;253.069;0;0
20;2;0.00642342;155.68;0;0
21;2;0.00620369;161.194;0;0
22;1;0.003829;261.165;0;0
23;6;0.0158402;63.1306;1;91
24;1;0.00377234;265.087;0;0
25;2;0.00672266;148.751;0;0
26;4;0.0106749;93.6778;0;0
27;5;0.0124265;80.4733;0;0
28;3;0.00769131;130.017;0;0
29;3;0.00870765;114.841;0;0
30;2;0.00627799;159.287;0;0
31;2;0.00605772;165.079;0;0
32;5;0.0135682;73.7017;0;6
33;3;0.00872735;114.582;0;0
34;5;0.0138743;72.0759;1;100
35;7;0.0185456;53.9211;1;100
36;1;0.00376964;265.277;0;0
37;2;0.00635378;157.387;0;0
38;4;0.0104596;95.6058;0;19
39;6;0.016147;61.9312;0;10
40;2;0.00574108;174.183;0;0
41;1;0.00377234;265.087;0;0
42;1;0.00381255;262.292;0;0
43;4;0.0101971;98.0673;0;0
44;7;0.0181435;55.1163;1;55
45;3;0.00955321;104.677;0;0
46;3;0.00875625;114.204;0;0
47;2;0.00598868;166.982;0;0
48;1;0.00377965;264.575;0;0
49;2;0.00680862;146.873;0;0
50;5;0.0164974;60.6156;1;100
51;2;0.00602895;165.866;0;0
52;3;0.00871354;114.764;0;0
53;1;0.00353749;282.687;0;0
54;4;0.0109144;91.6218;0;0
55;2;0.00588653;169.879;0;0
56;2;0.00613837;162.91;0;0
57;1;0.00405456;246.636;0;0
58;2;0.00597277;167.426;0;0
59;2;0.0059223;168.853;0;0
60;4;0.0120933;82.6906;1;92
61;2;0.00620329;161.205;0;0
62;1;0.00360863;277.114;0;0
63;6;0.0165493;60.4255;0;26
64;1;0.00377707;264.755;0;0
65;4;0.0120928;82.6936;1;65
66;1;0.00367033;272.455;0;0
67;2;0.00599094;166.919;0;0
68;4;0.0127129;78.6604;1;75
69;4;0.0119043;84.0036;0;9
70;1;0.00359448;278.204;0;0
71;3;0.00822329;121.606;0;0
72;1;0.00350197;285.554;0;0
73;4;0.0130291;76.751;1;100
74;1;0.00401869;248.837;0;0
75;3;0.00852131;117.353;0;0
76;7;0.0181303;55.1562;0;25
77;1;0.00356371;280.607;0;0
78;5;0.0169956;58.8389;1;100
79;1;0.00381982;261.792;0;0
80;2;0.00633554;157.84;0;0
81;1;0.00356371;280.607;0;0
82;1;0.00405456;246.636;0;0
83;2;0.00684073;146.183;0;0
84;2;0.00592001;168.919;0;0
85;5;0.0131801;75.8717;0;1
86;3;0.00887933;112.621;0;0
87;2;0.00629942;158.745;0;0
88;3;0.00898959;111.24;0;0
89;4;0.0126715;78.917;1;100
90;4;0.0107369;93.1367;0;0
91;2;0.00580038;172.402;0;0
92;2;0.00590819;169.256;0;0
93;1;0.00371668;269.057;0;0
94;3;0.00894372;111.81;0;0
95;4;0.010457;95.6297;0;0
96;1;0.00374692;266.886;0;0
97;5;0.0145099;68.9185;1;100
98;2;0.00618552;161.668;0;0
99;1;0.00413925;241.59;0;0
100;4;0.0104425;95.7622;0;0
101;5;0.0129594;77.1639;0;0
102;2;0.00585119;170.905;0;0
103;2;0.00590819;169.256;0;0
104;7;0.0207722;48.1412;1;100
105;4;0.0108383;92.2654;0;1
106;2;0.00602368;166.012;0;0
107;4;0.0117502;85.105;0;12
108;5;0.0135201;73.9641;1;74
109;8;0.0217761;45.9219;1;100
110;1;0.00405456;246.636;0;0
111;1;0.0039427;253.633;0;0
112;1;0.00413925;241.59;0;0
113;5;0.0150738;66.3403;1;100
114;1;0.00377234;265.087;0;0
115;2;0.00621849;160.811;0;0
116;4;0.0101738;98.292;0;0
117;1;0.00381255;262.292;0;0
118;1;0.0039427;253.633;0;0
119;3;0.0084659;118.121;0;0
120;2;0.00597735;167.298;0;0
