N;GRAU;PageRank;R-BEP;D-BRANCH
1;6;0.0227519;0;0
2;2;0.00919057;0;0
3;1;0.00577394;0;0
4;3;0.0127475;0;0
5;6;0.0273933;1;100
6;4;0.0163024;0;0
7;1;0.00620015;0;0
8;5;0.0191629;0;0
9;4;0.0162944;0;0
10;2;0.00915921;0;0
11;6;0.024906;1;100
12;5;0.0201017;0;0
13;5;0.0217656;1;100
14;1;0.00677238;0;0
15;5;0.0195362;0;0
16;4;0.0168633;0;0
17;9;0.0346653;1;100
18;2;0.00907942;0;0
19;2;0.0103825;0;0
20;2;0.00981582;0;0
21;3;0.0138082;0;0
22;6;0.0256938;0;0
23;5;0.0195277;0;0
24;5;0.0205558;0;0
25;3;0.0125085;0;0
26;2;0.0094139;0;0
27;7;0.0277482;0;0
28;7;0.0271887;0;0
29;4;0.0158459;0;0
30;2;0.0100755;0;0
31;2;0.00933197;0;0
32;4;0.0157975;0;0
33;6;0.0235747;0;0
34;3;0.0137998;0;0
35;6;0.0236911;0;0
36;2;0.00940921;0;0
37;4;0.017033;0;0
38;4;0.0201053;0;0
39;6;0.0233151;1;100
40;3;0.0129923;0;0
41;2;0.00952283;0;0
42;3;0.0130978;0;0
43;3;0.0125714;0;0
44;3;0.0125146;0;0
45;3;0.0144172;0;0
46;1;0.00613996;0;0
47;2;0.0103558;0;0
48;7;0.0270916;0;0
49;1;0.00638072;0;0
50;8;0.0291127;0;0
51;3;0.014124;0;0
52;4;0.0178234;0;0
53;5;0.018988;0;0
54;3;0.0132149;0;0
55;6;0.0246397;0;0
56;3;0.0129876;0;0
57;5;0.019781;0;0
58;7;0.0276928;0;0
59;4;0.0164306;0;0
60;6;0.0228327;0;0
