N;GRAU;PageRank;R-BEP;D-BRANCH
1;4;0.00912819;1;100
2;4;0.00977855;1;100
3;2;0.00482169;0;0
4;1;0.00314188;0;0
5;1;0.00277307;0;0
6;2;0.00503507;0;0
7;1;0.00275867;0;0
8;4;0.00828507;0;0
9;1;0.00307921;0;0
10;1;0.00286252;0;0
11;1;0.00282695;0;0
12;4;0.00950722;1;100
13;2;0.00465951;0;0
14;1;0.00287259;0;0
15;5;0.0121373;1;100
16;4;0.00875298;0;0
17;1;0.00290558;0;0
18;2;0.00497462;0;0
19;1;0.00312151;0;0
20;2;0.00449848;0;0
21;1;0.00314188;0;0
22;2;0.00469841;0;0
23;3;0.00825567;1;100
24;1;0.00278201;0;0
25;4;0.0107177;1;100
26;2;0.00491073;0;0
27;5;0.0106352;1;100
28;2;0.00489626;0;0
29;1;0.00307289;0;0
30;1;0.00306477;0;0
31;4;0.0105652;1;100
32;1;0.0028082;0;0
33;2;0.00453854;0;0
34;1;0.00306831;0;0
35;4;0.00957929;1;100
36;4;0.00841479;0;0
37;1;0.00312151;0;0
38;4;0.00954912;1;100
39;4;0.00885569;0;0
40;1;0.00291127;0;0
41;1;0.00291256;0;0
42;1;0.00307408;0;0
43;4;0.0105391;1;100
44;1;0.00314188;0;0
45;1;0.00286893;0;0
46;2;0.00451073;0;0
47;1;0.00307289;0;0
48;4;0.00946587;1;100
49;1;0.00306831;0;0
50;5;0.0106074;1;100
51;4;0.0091403;1;85
52;2;0.00483959;0;0
53;1;0.00306477;0;0
54;1;0.00307843;0;0
55;1;0.00287943;0;0
56;2;0.0049624;0;0
57;2;0.00506882;0;0
58;1;0.00307921;0;0
59;4;0.00917025;1;100
60;3;0.006861;1;50
61;1;0.00285362;0;0
62;3;0.00592126;0;0
63;2;0.00461788;0;0
64;1;0.00284483;0;0
65;1;0.00282695;0;0
66;4;0.0105447;1;100
67;4;0.00929279;1;100
68;1;0.00297362;0;0
69;1;0.00285362;0;0
70;5;0.0113255;1;100
71;4;0.0105447;1;100
72;4;0.00871705;0;0
73;4;0.00831911;0;0
74;1;0.00276842;0;0
75;1;0.00295584;0;0
76;1;0.00312151;0;0
77;1;0.00314188;0;0
78;4;0.0105688;1;100
79;2;0.00483494;0;0
80;1;0.00306477;0;0
81;4;0.00819024;0;0
82;4;0.0100719;1;100
83;5;0.0110144;1;100
84;1;0.00275867;0;0
85;1;0.00267393;0;0
86;1;0.00277565;0;0
87;1;0.00312151;0;0
88;1;0.00287259;0;0
89;1;0.00289668;0;0
90;1;0.00264131;0;0
91;1;0.00314188;0;0
92;2;0.00484025;0;0
93;1;0.00311084;0;0
94;4;0.00962868;1;100
95;4;0.00886359;0;0
96;1;0.00295584;0;0
97;2;0.0045139;0;0
98;1;0.00311084;0;0
99;4;0.00929349;1;100
100;1;0.00297362;0;0
101;1;0.00291482;0;0
102;1;0.00307408;0;0
103;1;0.00307921;0;0
104;4;0.00966892;1;100
105;1;0.00307408;0;0
106;1;0.00287943;0;0
107;5;0.00965762;1;100
108;1;0.00317244;0;0
109;4;0.0094994;1;100
110;1;0.00291482;0;0
111;2;0.00483193;0;0
112;2;0.0049299;0;0
113;1;0.00306831;0;0
114;2;0.00479485;0;0
115;1;0.00311084;0;0
116;1;0.00273057;0;0
117;4;0.0108638;1;100
118;4;0.0107679;1;100
119;1;0.00289668;0;0
120;5;0.0100335;0;0
121;1;0.00314188;0;0
122;1;0.00317244;0;0
123;4;0.0105175;1;100
124;2;0.00482127;0;0
125;2;0.00493428;0;0
126;5;0.0117271;1;100
127;4;0.0081679;0;15
128;1;0.00284483;0;0
129;4;0.00892816;0;0
130;1;0.00314188;0;0
131;4;0.00910628;0;21
132;1;0.00311084;0;0
133;2;0.00499573;0;0
134;4;0.00975173;1;100
135;1;0.00311084;0;0
136;1;0.00282695;0;0
137;4;0.0108638;1;100
138;1;0.00312151;0;0
139;4;0.0107679;1;100
140;1;0.00291256;0;0
141;4;0.00866162;0;50
142;1;0.00307408;0;0
143;1;0.00287259;0;0
144;1;0.0027532;0;0
145;4;0.0105009;1;100
146;1;0.00307408;0;0
147;1;0.00273787;0;0
148;1;0.00289668;0;0
149;5;0.0124854;1;100
150;1;0.00295584;0;0
151;4;0.0108638;1;100
152;1;0.00290558;0;0
153;2;0.00474871;0;0
154;1;0.00273787;0;0
155;1;0.00314188;0;0
156;4;0.0107177;1;100
157;1;0.00311084;0;0
158;1;0.00314188;0;0
159;2;0.00463282;0;0
160;3;0.00655473;0;0
161;1;0.00307289;0;0
162;4;0.00879952;1;100
163;4;0.0097846;1;100
164;1;0.00288798;0;0
165;2;0.00479101;0;0
166;1;0.00307843;0;0
167;4;0.00783863;0;0
168;1;0.0028082;0;0
169;2;0.00483123;0;0
170;1;0.00291127;0;0
171;5;0.0112032;1;100
172;4;0.00918453;1;100
173;5;0.0119956;1;100
174;1;0.00312151;0;0
175;1;0.00307408;0;0
176;1;0.00307843;0;0
177;1;0.00286893;0;0
178;1;0.00288798;0;0
179;4;0.00979522;1;100
180;4;0.00903465;0;14
