N;GRAU;PageRank;R-BEP;D-BRANCH
1;1;0.00276077;0;0
2;1;0.00266043;0;0
3;2;0.00466566;0;0
4;1;0.0030145;0;0
5;4;0.00944604;1;100
6;1;0.00278054;0;0
7;1;0.00302551;0;0
8;4;0.00918022;1;100
9;1;0.00266458;0;0
10;2;0.00463639;0;0
11;2;0.00402114;0;0
12;1;0.00276088;0;0
13;1;0.00256965;0;0
14;5;0.010667;1;100
15;5;0.0102589;1;100
16;1;0.00301737;0;0
17;1;0.00263697;0;0
18;1;0.00272647;0;0
19;3;0.00649586;0;0
20;5;0.0102081;1;100
21;1;0.00302551;0;0
22;1;0.00266458;0;0
23;1;0.00302551;0;0
24;2;0.00479917;0;0
25;3;0.00587148;0;0
26;1;0.00278413;0;0
27;2;0.00459624;0;0
28;1;0.00283991;0;0
29;1;0.00282963;0;0
30;1;0.00258057;0;0
31;1;0.00282963;0;0
32;1;0.00308271;0;0
33;2;0.0046278;0;0
34;5;0.0102778;1;100
35;2;0.00438116;0;0
36;1;0.00308271;0;0
37;3;0.00585411;0;0
38;2;0.00417507;0;0
39;2;0.00460422;0;0
40;6;0.0124781;1;100
41;2;0.00460299;0;0
42;1;0.00256871;0;0
43;1;0.00283384;0;0
44;5;0.0100467;0;0
45;3;0.00643654;0;0
46;1;0.00266498;0;0
47;1;0.00280149;0;0
48;4;0.00916331;1;100
49;4;0.0102778;1;100
50;1;0.00266815;0;0
51;3;0.0062817;0;0
52;4;0.0105853;1;100
53;1;0.00278054;0;0
54;1;0.00284062;0;0
55;1;0.00302551;0;0
56;1;0.00278413;0;0
57;2;0.00462761;0;0
58;1;0.00303883;0;0
59;6;0.0124414;1;100
60;1;0.00259586;0;0
61;2;0.00463391;0;0
62;5;0.0105366;1;100
63;3;0.00556236;0;0
64;1;0.00283384;0;0
65;2;0.00460836;0;0
66;4;0.00823617;0;0
67;2;0.00449207;0;0
68;1;0.00253418;0;0
69;1;0.00280237;0;0
70;1;0.00263697;0;0
71;1;0.00261104;0;0
72;1;0.00268919;0;0
73;5;0.0106096;1;100
74;3;0.00648009;0;0
75;1;0.00266194;0;0
76;4;0.00802227;0;0
77;4;0.00890886;1;100
78;5;0.00968393;0;0
79;6;0.012424;1;100
80;1;0.00268919;0;0
81;2;0.00475864;0;0
82;5;0.00941199;0;0
83;1;0.00251641;0;0
84;1;0.00302551;0;0
85;1;0.00281422;0;0
86;4;0.00754291;0;0
87;1;0.0026273;0;0
88;2;0.00443084;0;0
89;3;0.00633438;0;0
90;1;0.00308271;0;0
91;4;0.0086052;1;100
92;6;0.0112073;1;100
93;6;0.0129264;1;100
94;2;0.00451154;0;0
95;1;0.00283991;0;0
96;1;0.00266043;0;0
97;1;0.0030145;0;0
98;2;0.00417999;0;0
99;2;0.00422734;0;0
100;4;0.00863444;1;100
101;2;0.00452044;0;0
102;6;0.0122563;1;100
103;5;0.00990043;1;100
104;2;0.00444175;0;0
105;4;0.00926605;1;100
106;4;0.00941414;1;100
107;1;0.00301737;0;0
108;6;0.0126633;1;100
109;2;0.00435247;0;0
110;2;0.00463862;0;0
111;4;0.00817683;0;0
112;5;0.00897811;0;0
113;2;0.00430191;0;0
114;1;0.00267066;0;0
115;4;0.00944272;1;100
116;2;0.00450243;0;0
117;5;0.0107744;1;100
118;4;0.00864626;0;0
119;1;0.00302551;0;0
120;1;0.0025934;0;0
121;3;0.00622126;0;0
122;4;0.00932182;1;100
123;2;0.00451327;0;0
124;1;0.00276077;0;0
125;5;0.0113378;1;100
126;2;0.00449435;0;0
127;5;0.0104571;1;100
128;4;0.00730028;0;0
129;1;0.00264673;0;0
130;4;0.00762663;0;0
131;1;0.00276077;0;0
132;1;0.00264673;0;0
133;1;0.0030145;0;0
134;5;0.00941238;0;0
135;2;0.0045979;0;0
136;2;0.0043498;0;0
137;4;0.00845396;0;0
138;2;0.00412188;0;0
139;1;0.00301737;0;0
140;1;0.00281422;0;0
141;5;0.010333;0;0
142;1;0.00303883;0;0
143;2;0.00450909;0;0
144;4;0.00907079;1;100
145;4;0.00789957;0;0
146;4;0.00939434;1;100
147;4;0.00741103;0;0
148;1;0.00262455;0;0
149;4;0.00926194;1;100
150;1;0.00266498;0;0
151;1;0.00261104;0;0
152;4;0.0103788;1;100
153;4;0.00889906;1;100
154;1;0.00256965;0;0
155;1;0.00303883;0;0
156;5;0.010005;0;0
157;1;0.00259586;0;0
158;1;0.0026273;0;0
159;1;0.00284062;0;0
160;5;0.0107476;1;100
161;4;0.00896337;1;100
162;2;0.00480932;0;0
163;1;0.00273805;0;0
164;2;0.00453467;0;0
165;1;0.00276088;0;0
166;1;0.00280149;0;0
167;5;0.0109168;1;100
168;1;0.00262455;0;0
169;1;0.00266458;0;0
170;4;0.0102643;1;100
171;4;0.0103161;1;100
172;4;0.00761024;0;0
173;2;0.00437877;0;0
174;1;0.00272438;0;0
175;1;0.00273805;0;0
176;1;0.0025934;0;0
177;1;0.00280237;0;0
178;4;0.0103161;1;100
179;4;0.00805958;0;0
180;1;0.00272647;0;0
