N;GRAU;PageRank;R-BEP;D-BRANCH
1;4;0.00309447;0;47
2;4;0.00296493;0;6
3;4;0.0029998;0;9
4;2;0.00162236;0;0
5;2;0.00163137;0;0
6;1;0.000961305;0;0
7;4;0.0039666;1;100
8;5;0.00367568;0;26
9;1;0.000958198;0;0
10;2;0.00186329;0;0
11;2;0.00167649;0;0
12;5;0.0041696;1;100
13;3;0.00253247;0;0
14;1;0.000956089;0;0
15;4;0.00329788;0;51
16;4;0.00310039;0;3
17;1;0.00107091;0;0
18;5;0.00385877;1;63
19;1;0.00108146;0;0
20;1;0.00106736;0;0
21;6;0.00478429;1;100
22;4;0.00261369;0;3
23;2;0.00168812;0;0
24;2;0.0016001;0;0
25;1;0.00101589;0;0
26;5;0.00322925;0;2
27;1;0.00108338;0;0
28;1;0.00119189;0;0
29;6;0.0044573;1;100
30;1;0.0010085;0;0
31;4;0.00284663;0;0
32;2;0.00173035;0;0
33;1;0.00103574;0;0
34;4;0.00269414;0;0
35;3;0.00232883;0;6
36;6;0.004346;1;79
37;1;0.00102152;0;0
38;5;0.00345185;0;4
39;2;0.00166887;0;0
40;1;0.00101111;0;0
41;1;0.00109345;0;0
42;4;0.00317724;0;51
43;1;0.00119189;0;0
44;4;0.0035206;1;100
45;4;0.0033995;0;15
46;4;0.00337329;0;79
47;2;0.00162556;0;0
48;4;0.00323851;1;30
49;1;0.000963615;0;0
50;4;0.00368377;1;100
51;4;0.00318938;1;91
52;5;0.00336723;0;7
53;2;0.00160719;0;0
54;2;0.00186454;0;0
55;7;0.00472751;0;45
56;2;0.0019031;0;0
57;1;0.000998635;0;0
58;4;0.00313386;0;0
59;3;0.00233528;0;0
60;1;0.00108233;0;0
61;2;0.00166363;0;0
62;1;0.00107215;0;0
63;1;0.00107786;0;0
64;4;0.00321081;0;58
65;2;0.00180522;0;0
66;1;0.00117719;0;0
67;2;0.00170894;0;0
68;1;0.00107186;0;0
69;1;0.00111614;0;0
70;4;0.00317717;0;1
71;1;0.000940492;0;0
72;5;0.00357152;0;61
73;1;0.00100549;0;0
74;1;0.000934417;0;0
75;2;0.00175082;0;0
76;2;0.00166674;0;0
77;1;0.00105016;0;0
78;1;0.000976176;0;0
79;3;0.00235457;0;0
80;4;0.00397111;1;100
81;2;0.00166817;0;0
82;2;0.00156362;0;0
83;6;0.00406528;0;3
84;1;0.00103637;0;0
85;4;0.00408742;1;100
86;2;0.00157114;0;0
87;5;0.00355539;0;3
88;4;0.00404026;1;100
89;5;0.00374076;1;100
90;4;0.00293915;0;0
91;1;0.000986121;0;0
92;2;0.0014833;0;0
93;3;0.00229393;0;3
94;5;0.00327745;0;0
95;1;0.000945288;0;0
96;4;0.00365804;1;100
97;2;0.00160907;0;0
98;3;0.00239349;0;0
99;5;0.00379317;0;27
100;4;0.00362585;1;100
101;1;0.00107215;0;0
102;1;0.000965471;0;0
103;1;0.000966978;0;0
104;1;0.00103413;0;0
105;5;0.00338766;0;0
106;1;0.00105288;0;0
107;1;0.00120191;0;0
108;2;0.00157577;0;0
109;2;0.0017074;0;0
110;4;0.00284507;0;2
111;3;0.00222719;0;2
112;5;0.00351793;0;1
113;1;0.00107215;0;0
114;2;0.00164568;0;0
115;1;0.0010873;0;0
116;6;0.00474466;1;100
117;1;0.000976871;0;0
118;2;0.00167691;0;0
119;6;0.00452977;1;100
120;1;0.00105483;0;0
121;4;0.00408742;1;100
122;1;0.00103637;0;0
123;3;0.00231141;0;1
124;1;0.00109909;0;0
125;4;0.00302514;0;51
126;1;0.00100902;0;0
127;5;0.00434596;1;100
128;1;0.00119364;0;0
129;6;0.00456274;1;100
130;5;0.00413551;1;100
131;1;0.00101778;0;0
