1000 1047 6011 	314	315	314.86	0.0048100000	True
1000 1047 6019 	315	317	316.69	0.0052400000	True
1000 1047 6027 	315	316	315.83	0.0049500000	True
1000 1047 6035 	315	318	316.58	0.0048200000	True
1000 1047 6043 	314	316	315.64	0.0039000000	True
1000 1095 6051 	295	298	296.59	0.0061600000	True
1000 1095 6059 	296	299	296.99	0.0061100000	True
1000 1095 6067 	295	297	296.13	0.0076700000	True
1000 1095 6075 	292	296	294.6	0.0058400000	True
1000 1095 6083 	294	296	294.98	0.0051400000	True
1000 1143 6091 	276	281	278.29	0.0064400000	True
1000 1143 6099 	276	280	277.54	0.0058100000	True
1000 1143 6107 	276	280	278.21	0.0063400000	True
1000 1143 6115 	279	283	280.72	0.0067700000	True
1000 1143 6123 	274	277	275.29	0.0065200000	True
1000 1191 6131 	255	262	258.64	0.0083600000	True
1000 1191 6139 	257	261	259.03	0.0065700000	True
1000 1191 6147 	256	262	259.21	0.0069200000	True
1000 1191 6155 	259	266	261.8	0.0063100000	True
1000 1191 6163 	259	263	261.52	0.0072400000	True
1000 1239 6171 	238	244	240.54	0.0055000000	True
1000 1239 6179 	243	248	244.7	0.0059300000	True
1000 1239 6187 	240	246	242.96	0.0068700000	True
1000 1239 6195 	246	251	248.51	0.0078600000	True
1000 1239 6203 	244	249	246.9	0.0077700000	True
100 114 1811 	27	27	27	0.0005600000	True
100 114 1819 	23	26	24.03	0.0005800000	True
100 114 1827 	23	24	23.1	0.0004300000	True
100 114 1835 	23	23	23	0.0003200000	True
100 114 1843 	25	26	25.1	0.0004500000	True
100 129 1851 	18	21	19.64	0.0006300000	True
100 129 1859 	18	21	19.46	0.0007600000	True
100 129 1867 	17	22	18.9	0.0010000000	True
100 129 1875 	17	20	17.96	0.0008500000	True
100 129 1883 	15	20	17.46	0.0008800000	True
100 144 1891 	13	19	16.25	0.0011100000	True
100 144 1899 	13	17	14.83	0.0010700000	True
100 144 1907 	15	19	17.1	0.0008500000	True
100 144 1915 	11	16	13.75	0.0013500000	True
100 144 1923 	14	18	15.59	0.0010300000	True
100 159 1931 	11	16	12.87	0.0016200000	True
100 159 1939 	11	15	13.05	0.0012100000	True
100 159 1947 	10	15	11.55	0.0015700000	True
100 159 1955 	10	15	12.36	0.0014400000	True
100 159 1963 	12	17	14.08	0.0013100000	True
100 174 1971 	8	14	10.9	0.0012400000	True
100 174 1979 	9	15	11.68	0.0012600000	True
100 174 1987 	10	16	13.22	0.0014200000	True
100 174 1995 	9	14	11.65	0.0015100000	True
100 174 2003 	7	14	10.2	0.0015300000	True
120 136 2211 	31	31	31	0.0004200000	True
120 136 2219 	29	30	29.2	0.0006400000	True
120 136 2227 	30	30	30	0.0006400000	True
120 136 2235 	30	31	30.18	0.0005100000	True
120 136 2243 	30	33	31.5	0.0009000000	True
120 152 2251 	21	25	22.92	0.0009900000	True
120 152 2259 	22	27	24.38	0.0010600000	True
120 152 2267 	23	27	24.73	0.0009200000	True
120 152 2275 	22	26	23.86	0.0010600000	True
120 152 2283 	24	26	24.82	0.0007400000	True
120 169 2291 	18	22	20.06	0.0013100000	True
120 169 2299 	17	24	19.56	0.0010900000	True
120 169 2307 	15	20	17.95	0.0013100000	True
120 169 2315 	18	24	20.56	0.0013700000	True
120 169 2323 	18	23	20.15	0.0012000000	True
120 185 2331 	13	19	15.85	0.0019200000	True
120 185 2339 	14	20	16.81	0.0014800000	True
120 185 2347 	15	20	17.64	0.0013300000	True
120 185 2355 	11	18	14.12	0.0014300000	True
120 185 2363 	14	18	15.36	0.0011100000	True
120 202 2371 	11	16	13.78	0.0015000000	True
120 202 2379 	14	20	16.81	0.0012400000	True
120 202 2387 	11	16	13.46	0.0010900000	True
120 202 2395 	11	18	14.16	0.0012600000	True
120 202 2403 	13	19	15.71	0.0017800000	True
140 157 2611 	35	37	35.22	0.0005900000	True
140 157 2619 	34	35	34.34	0.0005900000	True
140 157 2627 	35	37	35.98	0.0007000000	True
140 157 2635 	34	35	34.72	0.0005700000	True
140 157 2643 	34	35	34.21	0.0007300000	True
140 175 2651 	25	30	26.86	0.0010400000	True
140 175 2659 	29	32	29.98	0.0011200000	True
140 175 2667 	26	31	27.58	0.0012800000	True
140 175 2675 	26	29	27.28	0.0009500000	True
140 175 2683 	28	33	30.29	0.0009300000	True
140 193 2691 	20	24	22.28	0.0010800000	True
140 193 2699 	21	26	23.36	0.0017800000	True
140 193 2707 	20	26	22.84	0.0013900000	True
140 193 2715 	21	28	24.59	0.0016600000	True
140 193 2723 	21	26	23.44	0.0018700000	True
140 211 2731 	17	24	20.16	0.0015500000	True
140 211 2739 	19	26	22.41	0.0018200000	True
140 211 2747 	18	26	21.57	0.0016000000	True
140 211 2755 	17	21	19.34	0.0015900000	True
140 211 2763 	17	24	20.35	0.0019600000	True
140 229 2771 	14	20	16.81	0.0024000000	True
140 229 2779 	13	20	16.34	0.0022200000	True
140 229 2787 	15	21	17.98	0.0024300000	True
140 229 2795 	14	20	17.31	0.0017400000	True
140 229 2803 	14	22	17.79	0.0022000000	True
160 179 3011 	39	41	39.56	0.0006900000	True
160 179 3019 	40	41	40.61	0.0007700000	True
160 179 3027 	42	44	42.95	0.0009300000	True
160 179 3035 	40	42	41.26	0.0008500000	True
160 179 3043 	40	42	40.84	0.0006200000	True
160 198 3051 	33	36	34.46	0.0009300000	True
160 198 3059 	30	35	32.55	0.0015200000	True
160 198 3067 	32	35	33.21	0.0010500000	True
160 198 3075 	31	35	33.06	0.0013000000	True
160 198 3083 	33	38	34.56	0.0010900000	True
160 218 3091 	25	30	26.99	0.0015800000	True
160 218 3099 	28	33	29.59	0.0016400000	True
160 218 3107 	24	30	26.64	0.0017000000	True
160 218 3115 	25	30	27	0.0013000000	True
160 218 3123 	26	31	28.26	0.0013000000	True
160 237 3131 	23	28	25.45	0.0017600000	True
160 237 3139 	19	25	22.28	0.0021500000	True
160 237 3147 	21	28	24	0.0022600000	True
160 237 3155 	20	26	22.97	0.0023400000	True
160 237 3163 	21	27	24.09	0.0020100000	True
160 257 3171 	19	25	21.94	0.0023600000	True
160 257 3179 	17	23	19.87	0.0023600000	True
160 257 3187 	17	23	19.99	0.0024800000	True
160 257 3195 	18	25	21.26	0.0026000000	True
160 257 3203 	18	24	20.6	0.0023500000	True
180 200 3411 	47	49	48.15	0.0007100000	True
180 200 3419 	48	51	49.13	0.0007800000	True
180 200 3427 	47	50	47.92	0.0009100000	True
180 200 3435 	46	48	46.98	0.0008500000	True
180 200 3443 	45	46	45.25	0.0010900000	True
180 221 3451 	34	39	36.28	0.0015900000	True
180 221 3459 	38	43	39.86	0.0018800000	True
180 221 3467 	35	39	36.51	0.0013800000	True
180 221 3475 	36	42	38.49	0.0017600000	True
180 221 3483 	39	42	40.8	0.0011800000	True
180 242 3491 	28	35	30.86	0.0023000000	True
180 242 3499 	29	35	31.1	0.0018500000	True
180 242 3507 	28	33	30.48	0.0018200000	True
180 242 3515 	28	32	29.78	0.0014400000	True
180 242 3523 	27	34	30.92	0.0020800000	True
180 263 3531 	23	29	26.23	0.0029700000	True
180 263 3539 	24	29	26.63	0.0023000000	True
180 263 3547 	23	31	27.04	0.0021000000	True
180 263 3555 	24	30	27.29	0.0019200000	True
180 263 3563 	25	32	28.4	0.0020800000	True
180 284 3571 	22	28	24.64	0.0032000000	True
180 284 3579 	21	28	24.55	0.0023000000	True
180 284 3587 	20	28	24.1	0.0031400000	True
180 284 3595 	23	31	26.62	0.0021400000	True
180 284 3603 	22	30	26.82	0.0020000000	True
200 222 3811 	51	52	51.36	0.0007600000	True
200 222 3819 	52	54	52.47	0.0008800000	True
200 222 3827 	51	52	51.75	0.0009900000	True
200 222 3835 	51	53	51.92	0.0008700000	True
200 222 3843 	52	53	52.49	0.0008000000	True
200 244 3851 	40	44	41.91	0.0013900000	True
200 244 3859 	43	47	44.57	0.0013800000	True
200 244 3867 	40	44	41.43	0.0013300000	True
200 244 3875 	39	45	41.64	0.0014300000	True
200 244 3883 	40	44	41.51	0.0018200000	True
200 267 3891 	33	39	36.02	0.0021200000	True
200 267 3899 	32	39	34.57	0.0019900000	True
200 267 3907 	32	37	34.14	0.0018200000	True
200 267 3915 	33	39	35.66	0.0020200000	True
200 267 3923 	32	38	35.01	0.0018500000	True
200 289 3931 	26	32	28.85	0.0024100000	True
200 289 3939 	29	35	31.82	0.0025100000	True
200 289 3947 	30	36	32.34	0.0021400000	True
200 289 3955 	28	36	31.95	0.0020300000	True
200 289 3963 	28	36	31.88	0.0022700000	True
200 312 3971 	24	31	27.8	0.0029500000	True
200 312 3979 	22	30	26.42	0.0029900000	True
200 312 3987 	24	32	27.86	0.0027600000	True
200 312 3995 	23	31	26.79	0.0032400000	True
200 312 4003 	25	32	28.93	0.0030200000	True
20 27 211 	1	3	1.92	0.0002100000	True
20 27 219 	2	3	2.49	0.0000500000	True
20 27 227 	2	4	2.63	0.0002200000	True
20 27 235 	3	4	3.18	0.0001600000	True
20 27 243 	4	4	4	0.0001100000	True
20 34 251 	1	4	1.85	0.0003800000	True
20 34 259 	1	3	2.06	0.0003700000	True
20 34 267 	1	3	2.07	0.0002600000	True
20 34 275 	2	3	2.27	0.0003000000	True
20 34 283 	1	3	1.66	0.0002400000	True
20 42 291 	1	2	1.4	0.0003600000	True
20 42 299 	1	2	1.47	0.0002500000	True
20 42 307 	1	3	1.39	0.0002700000	True
20 42 315 	0	2	1.14	0.0002600000	True
20 42 323 	0	3	1.12	0.0002900000	True
20 49 331 	0	2	0.54	0.0002600000	True
20 49 339 	0	2	0.85	0.0002200000	True
20 49 347 	0	2	0.73	0.0002400000	True
20 49 355 	0	2	0.8	0.0002600000	True
20 49 363 	0	2	0.53	0.0004000000	True
20 57 371 	0	2	0.65	0.0003800000	True
20 57 379 	0	2	0.78	0.0006300000	True
20 57 387 	0	2	0.97	0.0003200000	True
20 57 395 	0	1	0.46	0.0003800000	True
20 57 403 	0	2	0.49	0.0003300000	True
250 273 4011 	67	70	68.51	0.0010100000	True
250 273 4019 	66	69	67.12	0.0009900000	True
250 273 4027 	66	67	66.91	0.0008700000	True
250 273 4035 	68	69	68.13	0.0011200000	True
250 273 4043 	67	68	67.72	0.0010600000	True
250 297 4051 	53	57	54.36	0.0020100000	True
250 297 4059 	58	63	59.94	0.0019400000	True
250 297 4067 	52	56	53.64	0.0020100000	True
250 297 4075 	56	60	57.73	0.0017400000	True
250 297 4083 	55	59	56.74	0.0018200000	True
250 321 4091 	47	51	49.13	0.0022900000	True
250 321 4099 	45	51	48.6	0.0021900000	True
250 321 4107 	45	51	47.67	0.0027100000	True
250 321 4115 	46	52	48.07	0.0021600000	True
250 321 4123 	46	50	48.13	0.0014400000	True
250 345 4131 	36	44	39.87	0.0033200000	True
250 345 4139 	40	47	43.65	0.0026200000	True
250 345 4147 	39	45	42.03	0.0032800000	True
250 345 4155 	37	44	40.04	0.0035400000	True
250 345 4163 	41	47	44.04	0.0028700000	True
250 369 4171 	32	42	37.64	0.0033800000	True
250 369 4179 	33	40	36.18	0.0041700000	True
250 369 4187 	32	39	34.94	0.0032300000	True
250 369 4195 	33	40	36.62	0.0034800000	True
250 369 4203 	34	41	36.84	0.0040500000	True
300 326 4211 	83	84	83.24	0.0011300000	True
300 326 4219 	81	82	81.99	0.0010600000	True
300 326 4227 	82	83	82.75	0.0011100000	True
300 326 4235 	81	83	82.03	0.0012700000	True
300 326 4243 	82	84	82.68	0.0012100000	True
300 353 4251 	67	72	68.95	0.0014500000	True
300 353 4259 	67	72	69.03	0.0019000000	True
300 353 4267 	70	76	72.68	0.0022900000	True
300 353 4275 	70	74	71.6	0.0020400000	True
300 353 4283 	70	73	71.27	0.0017600000	True
300 380 4291 	60	64	61.63	0.0025800000	True
300 380 4299 	57	64	60.32	0.0031900000	True
300 380 4307 	57	63	60.22	0.0035100000	True
300 380 4315 	55	61	58.43	0.0038200000	True
300 380 4323 	58	64	61.27	0.0027500000	True
300 407 4331 	52	59	55.24	0.0031800000	True
300 407 4339 	52	58	54.84	0.0033900000	True
