n';m';Ótimo
20;41.8;0.8
40;70.8;2.8
60;95;6.3
80;119.8;9.2
100;144;13.3
120;168.8;17.5
140;193;20.9
160;217.8;25
180;242;29.1
200;266.8;32.6
250;321;44.6
300;380;57.4
350;434.8;68.6
400;489;81.8
450;548;93.4
500;602.8;106.7
600;637;183.8
600;674;167.2
600;712;150.6
600;749;138.8
600;787;125.8
700;740;214.4
700;780;198
700;821;180
700;861;164
700;902;154.2
800;843;245.6
800;886;227.6
800;930;208.4
800;973;194.2
800;1017;176.2
900;944;279.6
900;989;259.2
900;1034;240.6
900;1079;223.2
900;1124;206
1000;1047;312
1000;1095;290
1000;1143;271.2
1000;1191;251
1000;1239;235.2
