n';m';Ótimo;Moreno et Al;R-BEP (a);R-BEP (100);PG1 (100); PG2 (100)
600;637;183.8;187.6;184.6;184.6;184.6;184.6
600;674;167.2;173.4;170.2;170.0;170.0;169.8
600;712;150.6;159.4;154.6;154.6;154.6;154.6
600;749;138.8;145.4;143.2;143.0;143.0;143.0
600;787;125.8;135.4;131.6;131.2;131.2;131.6
700;740;214.4;218.8;216.2;216.2;216.2;216.2
700;780;198.0;204.4;201.0;201.0;201.0;201.0
700;821;180.0;189.0;184.0;184.4;184.4;184.0
700;861;164.0;174.2;168.4;169.0;169.0;168.8
700;902;154.2;165.2;158.8;159.4;159.4;159.4
800;843;245.6;250.8;247.8;247.8;247.8;247.8
800;886;227.6;235.0;230.6;230.6;230.6;230.6
800;930;208.4;216.2;212.4;212.4;212.4;212.6
800;973;194.2;205.0;199.2;198.8;198.8;199.4
800;1017;176.2;189.0;182.8;183.0;183.0;183.2
900;944;279.6;285.2;282.0;282.0;282.0;282.0
900;989;259.2;268.8;263.2;263.6;263.6;263.6
900;1034;240.6;250.6;244.6;244.8;244.8;244.8
900;1079;223.2;235.8;230.0;229.8;229.8;230.0
900;1124;206.0;219.0;212.4;213.0;213.0;212.6
1000;1047;312.0;317.4;314.6;314.6;314.6;314.6
1000;1095;290.0;299.6;294.6;294.0;294.0;294.2
1000;1143;271.2;283.0;276.2;276.2;276.2;276.4
1000;1191;251.0;264.0;257.4;257.4;257.4;258.0
1000;1239;235.2;249.6;242.2;241.6;241.6;242.0
