n';m';Ótimo;Moreno et Al;R-BEP (a);R-BEP (100);PG1 (a); PG2 (a)
20;41.8;0.8;1.04;0.80;0.84;0.84;0.84
40;70.8;2.8;3.76;3.28;3.32;3.24;3.24
60;95.0;6.3;8.16;7.12;7.12;7.24;7.24
80;119.8;9.2;11.68;10.28;10.16;10.24;10.24
100;144.0;13.3;16.24;14.68;14.68;14.72;14.72
120;168.8;17.5;20.88;18.96;19.12;19.04;19.04
140;193.0;20.9;24.52;22.76;22.80;22.76;22.76
160;217.8;25.0;29.84;27.12;27.08;27.24;27.24
180;242.0;29.1;33.44;31.20;31.16;31.16;31.16
200;266.8;32.6;37.56;35.12;35.20;35.04;35.04
250;321.0;44.6;50.72;47.52;47.52;47.44;47.44
300;380.0;57.4;63.16;60.48;60.64;60.36;60.36
350;434.8;68.6;76.12;72.28;72.32;72.36;72.36
400;489.0;81.8;90.84;85.80;85.80;85.80;85.80
450;548.0;93.4;102.04;97.76;97.60;97.64;97.64
500;602.8;106.7;116.64;111.32;111.16;111.16;111.16
