N;GRAU;PageRank;R-BEP;D-BRANCH
1;1;0.00329194;0;0
2;1;0.00345435;0;0
3;2;0.00544857;0;0
4;1;0.0031998;0;0
5;2;0.00545459;0;0
6;4;0.011163;1;100
7;1;0.0031939;0;0
8;4;0.011844;1;100
9;1;0.00309531;0;0
10;2;0.00530375;0;0
11;1;0.00343233;0;0
12;4;0.0108692;1;100
13;1;0.00345435;0;0
14;1;0.00316637;0;0
15;1;0.0034154;0;0
16;5;0.0111024;0;0
17;1;0.00345338;0;0
18;4;0.00990413;0;79
19;3;0.00753885;0;0
20;1;0.00348171;0;0
21;2;0.0053624;0;0
22;4;0.00883394;0;0
23;4;0.00995399;0;49
24;4;0.0104888;1;100
25;1;0.00345747;0;0
26;4;0.0118818;1;100
27;1;0.00348798;0;0
28;2;0.00573355;0;0
29;1;0.00330963;0;0
30;4;0.0116607;1;100
31;1;0.00326679;0;0
32;1;0.00325099;0;0
33;1;0.00318327;0;0
34;2;0.0056064;0;0
35;4;0.0109181;1;100
36;3;0.00730787;0;0
37;1;0.00313789;0;0
38;4;0.0101544;1;100
39;1;0.00326679;0;0
40;4;0.0110797;1;100
41;5;0.0137017;1;100
42;3;0.0077695;0;0
43;1;0.00322639;0;0
44;1;0.00348798;0;0
45;1;0.00346238;0;0
46;4;0.0110769;1;100
47;2;0.00562123;0;0
48;4;0.0109301;1;100
49;3;0.00669602;0;0
50;2;0.0053167;0;0
51;5;0.0127136;1;100
52;4;0.0120023;1;100
53;4;0.0107713;1;100
54;1;0.0031939;0;0
55;4;0.0118395;1;100
56;3;0.00729151;0;0
57;2;0.00555045;0;0
58;1;0.00326679;0;0
59;2;0.00574639;0;0
60;1;0.0031023;0;0
61;1;0.00304087;0;0
62;1;0.00344135;0;0
63;1;0.00345338;0;0
64;1;0.00345435;0;0
65;2;0.00511274;0;0
66;1;0.00331767;0;0
67;1;0.0031998;0;0
68;1;0.00343233;0;0
69;1;0.00329133;0;0
70;2;0.00520995;0;0
71;1;0.00344135;0;0
72;1;0.0031023;0;0
73;4;0.0106532;1;100
74;4;0.0117404;1;100
75;4;0.00972994;1;11
76;1;0.00325759;0;0
77;1;0.00324721;0;0
78;5;0.0121757;1;100
79;2;0.00546026;0;0
80;1;0.00322639;0;0
81;1;0.00325099;0;0
82;4;0.0108803;1;100
83;4;0.0119728;1;100
84;1;0.00345872;0;0
85;1;0.00309881;0;0
86;1;0.00331767;0;0
87;4;0.0106744;1;100
88;4;0.0096491;0;74
89;1;0.00324955;0;0
90;1;0.00348798;0;0
91;4;0.0102137;1;100
92;1;0.00320581;0;0
93;4;0.0101501;1;67
94;2;0.00530366;0;0
95;4;0.0098982;1;75
96;1;0.00329194;0;0
97;2;0.00548416;0;0
98;4;0.00962289;0;0
99;1;0.00325759;0;0
100;1;0.00345872;0;0
101;1;0.00348798;0;0
102;2;0.00527569;0;0
103;1;0.0032013;0;0
104;1;0.00323319;0;0
105;2;0.00567661;0;0
106;1;0.00346238;0;0
107;4;0.0102194;1;100
108;1;0.0034154;0;0
109;4;0.0112008;1;100
110;1;0.00324721;0;0
111;4;0.0106184;1;100
112;1;0.00343233;0;0
113;4;0.0103548;1;97
114;4;0.010887;1;100
115;1;0.00330963;0;0
116;1;0.00314821;0;0
117;1;0.00323319;0;0
118;1;0.00326014;0;0
119;4;0.0117828;1;100
120;4;0.00987248;1;97
121;1;0.00329133;0;0
122;1;0.00348171;0;0
123;4;0.0106461;1;100
124;5;0.0130042;1;100
125;4;0.0105683;1;100
126;4;0.0108032;1;100
127;1;0.00346238;0;0
128;1;0.00326014;0;0
129;2;0.00531271;0;0
130;4;0.0118646;1;100
131;1;0.00344135;0;0
132;2;0.00552061;0;0
133;1;0.0032013;0;0
134;1;0.00345747;0;0
135;1;0.00348171;0;0
136;1;0.00345747;0;0
137;1;0.00314821;0;0
138;1;0.00348798;0;0
139;4;0.00991687;0;66
140;4;0.00913786;0;1
141;1;0.00345872;0;0
142;1;0.00320581;0;0
143;2;0.00558836;0;0
144;1;0.00310911;0;0
145;3;0.00746342;0;0
146;1;0.00318327;0;0
147;1;0.00309881;0;0
148;1;0.00348798;0;0
149;4;0.0118587;1;100
150;5;0.0127341;1;100
151;4;0.0098627;1;76
152;4;0.00912714;0;0
153;2;0.00535491;0;0
154;4;0.0120023;1;100
155;1;0.00345338;0;0
156;5;0.0118466;0;5
157;1;0.00316637;0;0
158;1;0.0034154;0;0
159;3;0.0077774;0;0
160;1;0.00324955;0;0
