N;GRAU;PageRank;R-BEP;D-BRANCH
1;1;0.000693342;0;0
2;1;0.000613926;0;0
3;1;0.000562136;0;0
4;5;0.00193415;0;0
5;4;0.00175374;0;1
6;6;0.00289079;1;100
7;5;0.00256852;1;100
8;1;0.000684848;0;0
9;4;0.0015566;0;1
10;4;0.00225603;1;100
11;1;0.000682138;0;0
12;1;0.00068228;0;0
13;6;0.00264823;1;100
14;1;0.000580509;0;0
15;3;0.00145463;0;0
16;1;0.000676095;0;0
17;1;0.000678123;0;0
18;1;0.000671108;0;0
19;1;0.000693675;0;0
20;1;0.000613823;0;0
21;1;0.000673015;0;0
22;1;0.000608449;0;0
23;1;0.000672829;0;0
24;1;0.000666907;0;0
25;6;0.00265117;1;100
26;5;0.00253763;1;100
27;1;0.000673015;0;0
28;1;0.000621654;0;0
29;1;0.000623153;0;0
30;3;0.00141762;0;0
31;5;0.00232681;0;8
32;1;0.000629557;0;0
33;4;0.00176002;0;0
34;1;0.000684848;0;0
35;6;0.00237547;0;0
36;4;0.00152325;0;0
37;4;0.00176697;0;1
38;4;0.00203197;1;100
39;1;0.000673342;0;0
40;1;0.000619293;0;0
41;1;0.000618924;0;0
42;5;0.00230103;1;100
43;1;0.000586436;0;0
44;1;0.000628687;0;0
45;1;0.000609852;0;0
46;1;0.00066152;0;0
47;4;0.00187452;0;51
48;1;0.000672829;0;0
49;4;0.00181012;0;0
50;4;0.00192942;1;66
51;1;0.000626735;0;0
52;4;0.00165273;0;0
53;1;0.000671108;0;0
54;1;0.000685872;0;0
55;1;0.000601424;0;0
56;1;0.000630711;0;0
57;1;0.000619529;0;0
58;1;0.000694094;0;0
59;1;0.000614979;0;0
60;1;0.000613116;0;0
61;4;0.00170447;0;47
62;1;0.000675568;0;0
63;4;0.00180119;0;6
64;4;0.00170566;0;0
65;4;0.00228025;1;100
66;3;0.00134953;0;0
67;1;0.00059295;0;0
68;1;0.000595034;0;0
69;3;0.00141933;0;0
70;1;0.000628687;0;0
71;1;0.000679726;0;0
72;1;0.000668789;0;0
73;1;0.000684453;0;0
74;1;0.000665327;0;0
75;1;0.000693342;0;0
76;1;0.000679294;0;0
77;1;0.000623153;0;0
78;1;0.000672053;0;0
79;1;0.000535911;0;0
80;1;0.000580952;0;0
81;1;0.00066152;0;0
82;1;0.000702574;0;0
83;1;0.000582705;0;0
84;1;0.000590599;0;0
85;1;0.000585257;0;0
86;6;0.00263864;1;100
87;1;0.000560563;0;0
88;1;0.000565841;0;0
89;1;0.000630711;0;0
90;1;0.000616101;0;0
91;1;0.000624788;0;0
92;4;0.00177401;0;5
93;4;0.00184665;0;1
94;1;0.000679286;0;0
95;1;0.000626878;0;0
96;1;0.000679994;0;0
97;4;0.00238397;1;100
98;1;0.000679294;0;0
99;3;0.0014175;0;0
100;4;0.00191341;0;46
101;1;0.000613116;0;0
102;3;0.00133141;0;0
103;4;0.00180813;0;0
104;4;0.00208409;1;100
105;1;0.000630267;0;0
106;1;0.000596693;0;0
107;8;0.00313211;0;5
108;4;0.00177899;0;0
109;6;0.00259708;1;95
110;1;0.00067262;0;0
111;4;0.00228631;1;100
112;3;0.00132708;0;0
113;4;0.00229679;1;100
114;3;0.00121957;0;0
115;1;0.000626151;0;0
116;5;0.00259236;1;100
117;1;0.000671108;0;0
118;4;0.0016736;0;0
119;4;0.00168643;0;0
120;1;0.000679726;0;0
121;1;0.000694094;0;0
122;1;0.000616033;0;0
123;1;0.000630606;0;0
124;5;0.00234952;1;100
125;1;0.000612165;0;0
126;4;0.00181608;0;0
127;4;0.00234789;1;100
128;1;0.000555577;0;0
129;1;0.000618898;0;0
130;4;0.00183525;0;0
131;1;0.000661171;0;0
132;4;0.0020704;1;100
133;1;0.000567676;0;0
134;1;0.000578675;0;0
135;3;0.00138347;0;0
136;3;0.00132851;0;0
137;4;0.0023386;1;100
138;4;0.00193381;1;100
139;4;0.00200624;1;100
140;5;0.00257228;1;100
141;4;0.00169736;0;0
142;1;0.000548374;0;0
143;1;0.000619529;0;0
144;4;0.00176699;0;87
145;1;0.000616681;0;0
146;5;0.00212279;0;17
147;4;0.00199565;1;100
148;6;0.00262573;1;48
149;3;0.00139237;0;0
150;1;0.000687785;0;0
151;1;0.000569192;0;0
152;1;0.000549699;0;0
153;1;0.000679286;0;0
154;4;0.00157222;0;1
155;5;0.00238694;1;100
156;3;0.00121388;0;0
157;1;0.000562985;0;0
158;1;0.000673044;0;0
159;4;0.00231432;1;100
160;5;0.00224169;0;7
161;6;0.00237434;0;0
162;1;0.00062266;0;0
163;4;0.0016629;0;0
164;3;0.0014027;0;0
165;7;0.00301141;1;100
166;1;0.000616101;0;0
167;1;0.000613926;0;0
168;4;0.0019432;0;5
169;4;0.00183936;0;0
170;1;0.000622529;0;0
171;4;0.001908;1;100
172;5;0.00224143;1;100
173;5;0.00259522;1;100
174;4;0.00238018;1;100
175;5;0.00257236;1;100
176;4;0.00166303;0;0
177;1;0.000616101;0;0
178;1;0.000674935;0;0
179;1;0.000624788;0;0
180;5;0.00222949;1;75
181;1;0.000680308;0;0
182;1;0.000629557;0;0
183;1;0.000609596;0;0
184;1;0.00062417;0;0
185;4;0.00173651;0;0
186;4;0.00201887;1;100
187;1;0.000586919;0;0
188;1;0.000679294;0;0
189;5;0.00252118;1;100
190;1;0.000684453;0;0
191;4;0.00195949;1;100
192;1;0.000608449;0;0
193;1;0.000677181;0;0
194;1;0.000629508;0;0
195;3;0.00129502;0;0
196;5;0.00214919;1;71
197;1;0.000686859;0;0
198;1;0.00058011;0;0
199;1;0.000596693;0;0
200;1;0.000676095;0;0
201;1;0.000624802;0;0
202;4;0.00189377;1;100
203;4;0.0023191;1;100
204;1;0.000590599;0;0
205;3;0.00128413;0;0
206;5;0.00211136;0;0
207;1;0.000677181;0;0
208;1;0.000689439;0;0
209;1;0.000616413;0;0
210;1;0.000562666;0;0
211;1;0.000614275;0;0
212;4;0.00177826;0;0
213;1;0.000626735;0;0
214;1;0.000596693;0;0
215;1;0.000693289;0;0
216;1;0.000627565;0;0
217;4;0.00229163;1;100
218;4;0.00242388;1;100
219;1;0.000682164;0;0
220;1;0.000624788;0;0
221;1;0.000622529;0;0
222;3;0.00135942;0;0
223;1;0.000630606;0;0
224;1;0.000579404;0;0
225;4;0.00198633;1;100
226;1;0.000610085;0;0
227;1;0.000618924;0;0
228;3;0.0013036;0;0
229;6;0.00287671;1;100
230;5;0.00242112;1;100
231;1;0.000665709;0;0
232;4;0.0023386;1;100
233;4;0.00232771;1;100
234;1;0.000566616;0;0
235;3;0.00130112;0;0
236;3;0.00135767;0;0
237;1;0.00056566;0;0
238;1;0.000693289;0;0
239;5;0.00214905;0;6
240;3;0.00136716;0;0
241;1;0.000685872;0;0
242;4;0.002382;1;100
243;4;0.00229679;1;100
244;1;0.000686072;0;0
245;6;0.00272641;1;100
246;1;0.000578047;0;0
247;1;0.00066152;0;0
248;1;0.000614139;0;0
249;1;0.000682164;0;0
250;4;0.00192582;1;100
251;1;0.000614979;0;0
252;5;0.00232132;1;100
253;1;0.000593279;0;0
254;1;0.000622956;0;0
255;1;0.000684496;0;0
256;5;0.00232123;1;100
257;1;0.000665327;0;0
258;1;0.000693289;0;0
259;1;0.000673044;0;0
260;1;0.000679286;0;0
261;4;0.00185979;1;63
262;1;0.000599091;0;0
263;1;0.000673342;0;0
264;4;0.00200295;1;100
265;4;0.00242388;1;100
266;1;0.000628325;0;0
267;1;0.000616413;0;0
268;4;0.00234992;1;100
269;3;0.00140085;0;0
270;1;0.000666907;0;0
271;1;0.000597956;0;0
272;1;0.000565841;0;0
273;1;0.000680308;0;0
274;1;0.000684453;0;0
275;1;0.000565841;0;0
276;1;0.000673787;0;0
277;1;0.000573742;0;0
278;1;0.000610928;0;0
279;1;0.000613823;0;0
280;1;0.000631241;0;0
281;1;0.000581748;0;0
282;1;0.000585531;0;0
283;1;0.000613823;0;0
284;5;0.00251044;1;100
285;1;0.000619711;0;0
286;1;0.000628687;0;0
287;4;0.00183562;1;100
288;1;0.000685899;0;0
289;4;0.00230882;1;100
290;4;0.00178935;0;36
291;1;0.000560575;0;0
292;1;0.000575236;0;0
293;1;0.000616413;0;0
294;1;0.000679918;0;0
295;4;0.00230438;1;100
296;1;0.000678123;0;0
297;5;0.00213242;0;0
298;1;0.000685899;0;0
299;1;0.000618437;0;0
300;1;0.000567676;0;0
301;1;0.00058011;0;0
302;5;0.00266403;1;100
303;4;0.00171534;0;0
304;1;0.000682164;0;0
305;1;0.000684496;0;0
306;4;0.00209324;1;100
307;1;0.00058011;0;0
308;5;0.0025803;1;100
309;1;0.000693342;0;0
310;3;0.00141908;0;6
311;1;0.0006213;0;0
312;6;0.00245937;0;21
313;5;0.00224207;1;100
314;1;0.000679294;0;0
315;3;0.00141515;0;0
316;1;0.000679286;0;0
317;1;0.000640385;0;0
318;1;0.000679294;0;0
319;4;0.00234528;1;100
320;1;0.000597956;0;0
321;4;0.00236206;1;100
322;1;0.000684848;0;0
323;4;0.00170485;0;0
324;1;0.000614275;0;0
325;4;0.00170591;0;0
326;1;0.000560169;0;0
327;1;0.000622079;0;0
328;5;0.00255177;1;100
329;3;0.00134425;0;0
330;4;0.00186339;0;61
331;4;0.00167775;0;0
332;5;0.00258373;1;100
333;4;0.00176373;1;10
334;1;0.000631241;0;0
335;5;0.00185952;0;0
336;1;0.00068228;0;0
337;1;0.000539628;0;0
338;6;0.0024233;1;76
339;3;0.00139018;0;0
340;4;0.00192407;0;9
341;3;0.001367;0;0
342;1;0.000614139;0;0
343;1;0.000685872;0;0
344;3;0.00134138;0;0
345;3;0.00129652;0;0
346;1;0.000628201;0;0
347;1;0.000675568;0;0
348;1;0.000579404;0;0
