N;GRAU;PageRank;PESO;R-BEP;D-BRANCH
1;4;0.0665815;15.0192;0;0
2;3;0.0532469;18.7804;0;11
3;2;0.0374519;26.7009;0;0
4;2;0.0369775;27.0435;0;0
5;2;0.0456477;21.9069;0;0
6;1;0.0228206;43.82;0;0
7;2;0.0394901;25.3228;0;0
8;2;0.0368953;27.1037;0;0
9;4;0.0719176;13.9048;0;33
10;4;0.072097;13.8702;0;28
11;1;0.0230481;43.3876;0;0
12;6;0.109751;9.11152;1;100
13;4;0.0681311;14.6776;0;17
14;2;0.0369904;27.034;0;0
15;3;0.0529398;18.8894;0;4
16;1;0.0269003;37.1743;0;0
17;1;0.0230481;43.3876;0;0
18;2;0.0386871;25.8484;0;0
19;3;0.0526497;18.9935;0;6
20;5;0.0847282;11.8024;0;11
