N;GRAU;PageRank;R-BEP;D-BRANCH
1;4;0.0114818;0;0
2;1;0.00388017;0;0
3;4;0.0127526;1;100
4;1;0.00424;0;0
5;5;0.0138916;0;0
6;2;0.00658246;0;0
7;5;0.0169432;1;100
8;6;0.0195897;1;100
9;1;0.00419178;0;0
10;7;0.0205439;1;100
11;4;0.012784;0;0
12;4;0.0112793;0;0
13;2;0.00743513;0;0
14;2;0.00630506;0;0
15;3;0.00888204;0;0
16;5;0.0161177;1;100
17;2;0.00640524;0;0
18;6;0.0167793;0;0
19;4;0.0121372;0;0
20;3;0.00883643;0;0
21;1;0.00438035;0;0
22;2;0.00757641;0;0
23;3;0.00892205;0;0
24;2;0.00651852;0;0
25;2;0.00662271;0;0
26;4;0.0112476;0;0
27;1;0.00424;0;0
28;1;0.0042752;0;0
29;2;0.00639532;0;0
30;2;0.00659556;0;0
31;1;0.00425985;0;0
32;3;0.00888097;0;0
33;5;0.0151632;1;100
34;4;0.0124746;0;0
35;7;0.0196014;1;100
36;5;0.0142604;0;0
37;1;0.00412384;0;0
38;5;0.0160375;1;100
39;4;0.0129875;0;0
40;5;0.0148132;0;0
41;5;0.0146246;0;0
42;4;0.012513;0;0
43;3;0.00868658;0;0
44;2;0.00624175;0;0
45;7;0.0194312;1;100
46;5;0.0154344;0;0
47;3;0.010253;0;0
48;2;0.00692176;0;0
49;7;0.0196421;0;0
50;1;0.00399462;0;0
51;2;0.00648335;0;0
52;6;0.0169347;0;0
53;5;0.017125;1;100
54;2;0.0067032;0;0
55;2;0.00673688;0;0
56;1;0.00444034;0;0
57;4;0.0119763;0;0
58;2;0.00775699;0;0
59;4;0.0144001;1;100
60;5;0.0138702;1;100
61;5;0.0147677;0;0
62;5;0.0141801;0;0
63;1;0.00441125;0;0
64;2;0.00650895;0;0
65;1;0.00441787;0;0
66;2;0.00626528;0;0
67;4;0.0126672;0;0
68;2;0.00743513;0;0
69;5;0.0141165;0;0
70;3;0.00883811;0;0
71;6;0.0167926;0;0
72;6;0.0172066;0;0
73;5;0.014229;0;0
74;2;0.00713918;0;0
75;4;0.0118984;0;0
76;1;0.00456003;0;0
77;2;0.00785675;0;0
78;4;0.0120669;0;0
79;2;0.00637358;0;0
80;2;0.00689965;0;0
81;1;0.00422637;0;0
82;5;0.0137116;0;0
83;1;0.00389908;0;0
84;2;0.00666397;0;0
85;3;0.00914448;0;0
86;1;0.00421661;0;0
87;3;0.00925278;0;0
88;2;0.00656392;0;0
89;3;0.00893856;0;0
90;2;0.00680411;0;0
91;4;0.0138369;1;100
92;2;0.00679345;0;0
93;2;0.00737898;0;0
94;1;0.00441125;0;0
95;2;0.00659504;0;0
96;5;0.0148671;0;0
97;1;0.00438035;0;0
98;4;0.0137312;0;0
99;6;0.0171388;0;0
100;1;0.00420993;0;0
